 X0/lambda deviation_0_X deviation_0_Y deviation_0_Z
  1.883333333333333E-01  1.039258006274948E+00  7.969516943077926E-01 -5.245630380501562E-02
  1.891666666666667E-01  1.051806074230246E+00  8.094997622630913E-01 -5.245630380501562E-02
  1.900000000000000E-01  1.070628176163204E+00  8.220478302183899E-01 -5.245630380501562E-02
  1.908333333333333E-01  1.083176244118502E+00  8.283218641960486E-01 -5.245630380501562E-02
  1.916666666666667E-01  1.101998346051441E+00  8.408699321513473E-01 -5.245630380501562E-02
  1.925000000000000E-01  1.114546414006740E+00  8.534180001066460E-01 -4.618226982736626E-02
  1.933333333333333E-01  1.133368515939697E+00  8.659660680619448E-01 -4.618226982736626E-02
  1.941666666666667E-01  1.145916583894996E+00  8.785141360172434E-01 -4.618226982736626E-02
  1.950000000000000E-01  1.164738685827953E+00  8.910622039725421E-01 -4.618226982736626E-02
  1.958333333333333E-01  1.177286753783252E+00  8.973362379502007E-01 -4.618226982736626E-02
  1.966666666666667E-01  1.189834821738551E+00  9.098843059054995E-01 -3.990823584971690E-02
  1.975000000000000E-01  1.208656923671489E+00  9.224323738607982E-01 -3.990823584971690E-02
  1.983333333333333E-01  1.221204991626788E+00  9.287064078384383E-01 -3.990823584971690E-02
  1.991666666666667E-01  1.233753059582087E+00  9.412544757937369E-01 -3.990823584971690E-02
  2.000000000000000E-01  1.246301127537404E+00  9.538025437490356E-01 -3.990823584971690E-02
  2.008333333333333E-01  1.258849195492703E+00  9.600765777266943E-01 -3.363420187206755E-02
  2.016666666666667E-01  1.277671297425642E+00  9.726246456819930E-01 -3.363420187206755E-02
  2.025000000000000E-01  1.290219365380940E+00  9.851727136372918E-01 -3.363420187206755E-02
  2.033333333333333E-01  1.302767433336239E+00  9.914467476149503E-01 -3.363420187206755E-02
  2.041666666666667E-01  1.315315501291538E+00  1.003994815570249E+00 -3.363420187206755E-02
  2.050000000000000E-01  1.327863569246837E+00  1.010268849547889E+00 -3.363420187206755E-02
  2.058333333333333E-01  1.340411637202135E+00  1.022816917503188E+00 -2.736016789441819E-02
  2.066666666666667E-01  1.352959705157453E+00  1.029090951480846E+00 -2.736016789441819E-02
  2.075000000000000E-01  1.365507773112751E+00  1.035364985458487E+00 -2.736016789441819E-02
  2.083333333333333E-01  1.378055841068050E+00  1.047913053413785E+00 -2.736016789441819E-02
  2.091666666666667E-01  1.390603909023349E+00  1.054187087391444E+00 -2.736016789441819E-02
  2.100000000000000E-01  1.403151976978647E+00  1.060461121369084E+00 -2.736016789441819E-02
  2.108333333333333E-01  1.409426010956288E+00  1.073009189324401E+00 -2.108613391676421E-02
  2.116666666666667E-01  1.421974078911586E+00  1.079283223302041E+00 -2.108613391676421E-02
  2.125000000000000E-01  1.434522146866885E+00  1.085557257279700E+00 -2.108613391676421E-02
  2.133333333333333E-01  1.447070214822183E+00  1.098105325234999E+00 -2.108613391676421E-02
  2.141666666666667E-01  1.453344248799842E+00  1.104379359212639E+00 -2.108613391676421E-02
  2.150000000000000E-01  1.465892316755141E+00  1.110653393190297E+00 -2.108613391676421E-02
  2.158333333333333E-01  1.478440384710440E+00  1.116927427167937E+00 -2.108613391676421E-02
  2.166666666666667E-01  1.484714418688098E+00  1.123201461145596E+00 -1.481209993911485E-02
  2.175000000000000E-01  1.497262486643397E+00  1.129475495123236E+00 -1.481209993911485E-02
  2.183333333333333E-01  1.503536520621037E+00  1.135749529100895E+00 -1.481209993911485E-02
  2.191666666666667E-01  1.516084588576336E+00  1.142023563078535E+00 -1.481209993911485E-02
  2.200000000000000E-01  1.522358622553994E+00  1.148297597056193E+00 -1.481209993911485E-02
  2.208333333333333E-01  1.528632656531634E+00  1.154571631033833E+00 -1.481209993911485E-02
  2.216666666666667E-01  1.541180724486933E+00  1.160845665011492E+00 -1.481209993911485E-02
  2.225000000000000E-01  1.547454758464592E+00  1.167119698989132E+00 -1.481209993911485E-02
  2.233333333333333E-01  1.553728792442250E+00  1.173393732966791E+00 -8.538065961465497E-03
  2.241666666666667E-01  1.566276860397549E+00  1.179667766944450E+00 -8.538065961465497E-03
  2.250000000000000E-01  1.572550894375189E+00  1.185941800922090E+00 -8.538065961465497E-03
  2.258333333333333E-01  1.578824928352848E+00  1.192215834899748E+00 -8.538065961465497E-03
  2.266666666666667E-01  1.585098962330488E+00  1.198489868877388E+00 -8.538065961465497E-03
  2.275000000000000E-01  1.591372996308147E+00  1.198489868877388E+00 -8.538065961465497E-03
  2.283333333333333E-01  1.597647030285787E+00  1.204763902855047E+00 -8.538065961465497E-03
  2.291666666666667E-01  1.603921064263445E+00  1.211037936832687E+00 -8.538065961465497E-03
  2.300000000000000E-01  1.610195098241085E+00  1.211037936832687E+00 -8.538065961465497E-03
  2.308333333333333E-01  1.616469132218744E+00  1.217311970810346E+00 -8.538065961465497E-03
  2.316666666666667E-01  1.622743166196384E+00  1.223586004787986E+00 -8.538065961465497E-03
  2.325000000000000E-01  1.629017200174043E+00  1.223586004787986E+00 -2.264031983816143E-03
  2.333333333333333E-01  1.635291234151683E+00  1.229860038765644E+00 -2.264031983816143E-03
  2.341666666666667E-01  1.641565268129341E+00  1.236134072743284E+00 -2.264031983816143E-03
  2.350000000000000E-01  1.647839302106981E+00  1.236134072743284E+00 -2.264031983816143E-03
  2.358333333333333E-01  1.647839302106981E+00  1.242408106720943E+00 -2.264031983816143E-03
  2.366666666666667E-01  1.654113336084640E+00  1.242408106720943E+00 -2.264031983816143E-03
  2.375000000000000E-01  1.660387370062299E+00  1.242408106720943E+00 -2.264031983816143E-03
  2.383333333333333E-01  1.660387370062299E+00  1.248682140698583E+00 -2.264031983816143E-03
  2.391666666666667E-01  1.666661404039939E+00  1.248682140698583E+00 -2.264031983816143E-03
  2.400000000000000E-01  1.666661404039939E+00  1.254956174676242E+00 -2.264031983816143E-03
  2.408333333333333E-01  1.672935438017597E+00  1.254956174676242E+00 -2.264031983816143E-03
  2.416666666666667E-01  1.672935438017597E+00  1.254956174676242E+00 -2.264031983816143E-03
  2.425000000000000E-01  1.679209471995238E+00  1.261230208653882E+00 -2.264031983816143E-03
  2.433333333333333E-01  1.679209471995238E+00  1.261230208653882E+00 -2.264031983816143E-03
